"","Position","C.T","G.A"
"1",-12,0.639215111861506,0.686571628906894
"2",-11,0.65791158427038,0.705151052967786
"3",-10,0.674135152171275,0.719042319306878
"4",-9,0.685955449899332,0.731330433513469
"5",-8,0.691070828466063,0.744673777453814
"6",-7,0.687100247315791,0.760608626741488
"7",-6,0.672554591411207,0.778482027999211
"8",-5,0.645294926142699,0.796841853873309
"9",-4,0.605231239403061,0.81351274174145
"10",-3,0.55334749022313,0.827386265186863
"11",-2,0.488406663091948,0.838682788006691
"12",-1,0.400029638068743,0.848365861726934
"13",1,0.851400539226522,0.348805906055375
"14",2,0.843264706795191,0.43712069542307
"15",3,0.832968884343265,0.511693191671372
"16",4,0.820015416667663,0.572928005712156
"17",5,0.805425817151812,0.615934910943062
"18",6,0.790358104048354,0.642783307312003
"19",7,0.774271030412446,0.660320321690707
"20",8,0.756022146158936,0.67271288187586
"21",9,0.736367298353384,0.678826266510184
"22",10,0.718600339390744,0.67476396109248
"23",11,0.703334822030192,0.660360818151935
"24",12,0.687662772262619,0.637798288957858
