"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.00650325500665704,0.00951463487271548,4.95648832250043e-06,0.111377443131279,0.572589549115959,-4762.72676581003
"Std.",4.47903174490959e-05,9.10479442021229e-05,4.95281468883548e-06,0.00329605247161441,0.00494672801585731,1.76688117645393
"Acceptance ratio",0.11474,0.16064,0.112,0.1844,0.23232,0.58626
"0%",0.00633771217645068,0.00915200553636189,7.25047733446848e-10,0.0986185076846276,0.552968673807082,-4775.64324145908
"2.5%",0.00641420273624509,0.00933774205882465,1.4080249851542e-07,0.105040898354316,0.563052553916525,-4767.07363579594
"5%",0.00642850266215473,0.00936422159164854,2.78890793074966e-07,0.106067790002631,0.564576393996306,-4766.11875191683
"7.5%",0.00643991000544575,0.00938127117407223,3.93598897082889e-07,0.106694188415538,0.565494034518637,-4765.53620532646
"10%",0.00644698408831761,0.00939650999972803,5.33071142251192e-07,0.107196721242308,0.566287709825237,-4765.0991639198
"12.5%",0.00645226230467465,0.00940926753571863,6.47522779101444e-07,0.107610655405111,0.566936785695422,-4764.77276869632
"15%",0.00645697892963618,0.00942021902179427,8.04983843489775e-07,0.107949461669987,0.567448433705489,-4764.4659132798
"17.5%",0.00646188507620093,0.00942935031785854,9.33110826785609e-07,0.108282037112464,0.567973023844674,-4764.21418322506
"20%",0.00646595932266074,0.00943918010649872,1.07635776701028e-06,0.108570795629831,0.568433343698666,-4764.01211145791
"22.5%",0.00646941154748567,0.00944670774403668,1.23499150570993e-06,0.108905777408411,0.568918293296808,-4763.8166888745
"25%",0.0064733188414656,0.00945408513378201,1.42258329331317e-06,0.109183492120148,0.569320132432102,-4763.66333015339
"27.5%",0.00647624689162554,0.00946069876266297,1.57123088631249e-06,0.109420756026221,0.56967478176547,-4763.49323034452
"30%",0.00647953258064772,0.009467625366275,1.75780243174898e-06,0.10963426888438,0.569995137556609,-4763.35628539446
"32.5%",0.00648272705948268,0.00947468954661907,1.92218461422418e-06,0.109846151224133,0.570344469102826,-4763.21136630221
"35%",0.00648603152065999,0.00948093023914954,2.11885980170186e-06,0.110035187518219,0.570677741255423,-4763.07350545886
"37.5%",0.00648911608232392,0.00948737418511142,2.31452269335605e-06,0.110253097143706,0.570997217827038,-4762.95166731038
"40%",0.006491947998041,0.00949269865435576,2.53875547713048e-06,0.110465254465583,0.571293235723964,-4762.82066590737
"42.5%",0.00649557360863009,0.00949858602200985,2.72765050303803e-06,0.110660387697576,0.571599120769567,-4762.70447593524
"45%",0.0064984651456079,0.0095045950059441,2.91198819778482e-06,0.11086846103437,0.57191261835903,-4762.59019945126
"47.5%",0.00650086190739556,0.00951013333258207,3.20506292929448e-06,0.111085779426379,0.572202156012984,-4762.48484085798
"50%",0.00650337800981163,0.00951519009452861,3.45989877295576e-06,0.111287859201546,0.572489958947662,-4762.38672054531
"52.5%",0.00650628468244812,0.00951974122656401,3.70483529734183e-06,0.111494126934769,0.572798195759655,-4762.2782007971
"55%",0.00650878152367708,0.00952514239502863,3.98314997576783e-06,0.111705719403306,0.573110960818654,-4762.18128419156
"57.5%",0.00651158223262613,0.00952992632196315,4.2199224885968e-06,0.111955864143443,0.573428492957886,-4762.08193626293
"60%",0.00651443898546493,0.0095351014582008,4.53920734786775e-06,0.112192853447603,0.573712564718348,-4761.98254639514
"62.5%",0.00651678696333243,0.00954167943929794,4.88171810723835e-06,0.112434367235923,0.574019609337173,-4761.89646526764
"65%",0.00651942614605154,0.00954789859479928,5.17884091479903e-06,0.112627783857129,0.574344868344934,-4761.80451622565
"67.5%",0.00652260228789545,0.00955384289514329,5.56519824198392e-06,0.112843762304269,0.57470796764131,-4761.71480209905
"70%",0.00652604798752975,0.0095606971812654,5.98823570943808e-06,0.113092403041429,0.575097723811228,-4761.63354389468
"72.5%",0.00652965308410104,0.00956881563958044,6.39022824811664e-06,0.113357908523616,0.57546185886475,-4761.54619880237
"75%",0.00653291256210534,0.0095750040903979,6.88903046183271e-06,0.113584390018037,0.575918693221214,-4761.44612198596
"77.5%",0.0065365422568458,0.00958253649247145,7.40904688517942e-06,0.113867259278847,0.576375518887725,-4761.34989432518
"80%",0.00654047076416308,0.00958984842472788,7.88622357521175e-06,0.114167471739392,0.576827612201828,-4761.25703241167
"82.5%",0.00654487174363553,0.00959943018087884,8.62945631065894e-06,0.114486092089104,0.577229446564151,-4761.15429473456
"85%",0.00655013373345107,0.00960900583926765,9.41045440246266e-06,0.114838012739409,0.577773469467411,-4761.04146574031
"87.5%",0.0065555966134896,0.00961969839425549,1.02908881014159e-05,0.115228598488623,0.578342818335378,-4760.92409525723
"90%",0.00656172998867596,0.00963195270135204,1.13834597356813e-05,0.115672716849323,0.579057548172255,-4760.79263997289
"92.5%",0.00656729983468566,0.00964516122618876,1.28341991636222e-05,0.116171974678352,0.579728564923989,-4760.66001893805
"95%",0.00657585846150797,0.00966491352120403,1.48128456206104e-05,0.11686978384573,0.580770944583077,-4760.49855800183
"97.5%",0.00659192697629945,0.00969535299646986,1.85375391401217e-05,0.117896600464796,0.582431941753636,-4760.30545736314
"100%",0.00670270226553643,0.00989764281327691,4.51136002020241e-05,0.124019497408575,0.590779796859787,-4759.76380943376
