Sample	Library	Std	Kind	Length	Occurences
*	*	+	se	28	10
*	*	+	se	29	182
*	*	+	se	30	12102
*	*	+	se	31	13355
*	*	+	se	32	13838
*	*	+	se	33	14355
*	*	+	se	34	14571
*	*	+	se	35	15009
*	*	+	se	36	14589
*	*	+	se	37	14477
*	*	+	se	38	14188
*	*	+	se	39	14448
*	*	+	se	40	12995
*	*	+	se	41	12701
*	*	+	se	42	13267
*	*	+	se	43	12905
*	*	+	se	44	12016
*	*	+	se	45	11518
*	*	+	se	46	11166
*	*	+	se	47	10522
*	*	+	se	48	10047
*	*	+	se	49	9854
*	*	+	se	50	8896
*	*	+	se	51	8164
*	*	+	se	52	7969
*	*	+	se	53	7471
*	*	+	se	54	6885
*	*	+	se	55	6469
*	*	+	se	56	6118
*	*	+	se	57	5684
*	*	+	se	58	5615
*	*	+	se	59	5160
*	*	+	se	60	4606
*	*	+	se	61	4279
*	*	+	se	62	4104
*	*	+	se	63	3664
*	*	+	se	64	4226
*	*	+	se	65	3822
*	*	+	se	66	3685
*	*	+	se	67	3508
*	*	+	se	68	3200
*	*	+	se	69	2958
*	*	+	se	70	2715
*	*	+	se	71	2569
*	*	+	se	72	2494
*	*	+	se	73	5
*	*	+	se	74	25
*	*	+	se	75	27680
*	*	+	se	76	22
*	*	+	se	77	3
*	*	+	se	78	1
*	*	-	se	28	4
*	*	-	se	29	138
*	*	-	se	30	11883
*	*	-	se	31	13366
*	*	-	se	32	13876
*	*	-	se	33	14485
*	*	-	se	34	14558
*	*	-	se	35	14866
*	*	-	se	36	14712
*	*	-	se	37	14744
*	*	-	se	38	14363
*	*	-	se	39	14343
*	*	-	se	40	13131
*	*	-	se	41	12823
*	*	-	se	42	13139
*	*	-	se	43	12678
*	*	-	se	44	12014
*	*	-	se	45	11421
*	*	-	se	46	11004
*	*	-	se	47	10238
*	*	-	se	48	10158
*	*	-	se	49	9808
*	*	-	se	50	8993
*	*	-	se	51	8233
*	*	-	se	52	7879
*	*	-	se	53	7538
*	*	-	se	54	6857
*	*	-	se	55	6461
*	*	-	se	56	6081
*	*	-	se	57	5788
*	*	-	se	58	5549
*	*	-	se	59	5057
*	*	-	se	60	4685
*	*	-	se	61	4336
*	*	-	se	62	4123
*	*	-	se	63	3709
*	*	-	se	64	4122
*	*	-	se	65	3857
*	*	-	se	66	3595
*	*	-	se	67	3537
*	*	-	se	68	3301
*	*	-	se	69	2854
*	*	-	se	70	2690
*	*	-	se	71	2492
*	*	-	se	72	2506
*	*	-	se	73	5
*	*	-	se	74	28
*	*	-	se	75	27841
*	*	-	se	76	13
*	*	-	se	77	2
