"","Position","C.T","G.A"
"1",-12,0.632727073367971,0.740844225894083
"2",-11,0.669735682228736,0.747852252885825
"3",-10,0.696489695050571,0.753978330220434
"4",-9,0.710704305816401,0.763426140654256
"5",-8,0.713428455063778,0.776865596582147
"6",-7,0.704543238449182,0.793447479101217
"7",-6,0.683853435710197,0.810921472210415
"8",-5,0.651530526401802,0.82706471571392
"9",-4,0.60930729086408,0.840517049452957
"10",-3,0.556829806215474,0.851430640391508
"11",-2,0.488587784323494,0.86056192829107
"12",-1,0.3959024522766,0.868343304107563
"13",1,0.871035182352734,0.333831188514287
"14",2,0.864504318664832,0.428743554233269
"15",3,0.85608107208559,0.51035230605015
"16",4,0.845208272379751,0.578464294951901
"17",5,0.832506232612849,0.62742439482711
"18",6,0.818740888991404,0.659469500635483
"19",7,0.803732510972893,0.680724660537994
"20",8,0.787618425901383,0.693579330110347
"21",9,0.771024707098988,0.698526413742376
"22",10,0.755364910707137,0.694404860927712
"23",11,0.7376010346154,0.685867609182594
"24",12,0.714994131187898,0.674618278046862
