"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.00402188217500878,0.00679102422324514,4.30125612812377e-06,0.113114233436583,0.671710082345612,-4894.30839082906
"Std.",3.50833192155289e-05,7.36033270903833e-05,4.37443701935902e-06,0.003730288986886,0.00728918301847935,1.73284192538927
"Acceptance ratio",0.16826,0.13706,0.18312,0.21222,0.16586,0.61376
"0%",0.00389900447828508,0.00651586649655376,2.04931461611577e-11,0.0995609687480043,0.646434610861382,-4908.07914583818
"2.5%",0.00395586138197475,0.00664816231353636,1.01020558714272e-07,0.105814585196979,0.657314507280107,-4898.51909415373
"5%",0.00396565154557248,0.00667083023620663,2.27805685360904e-07,0.107008014493812,0.659280771688403,-4897.57522604053
"7.5%",0.00397180125727148,0.00668553619612934,3.48014445644333e-07,0.10776318961124,0.661006929294518,-4897.03489571409
"10%",0.00397744186779825,0.00669699015613403,4.49946892015256e-07,0.108363784090188,0.662274150193356,-4896.63844881706
"12.5%",0.00398169416580882,0.00670669974763845,5.81448082104874e-07,0.108864016854256,0.66315586973853,-4896.31953891249
"15%",0.0039858364948709,0.00671457246987303,7.06364545168069e-07,0.10924658721291,0.664039853201331,-4896.05229907004
"17.5%",0.00398900252510277,0.0067215156304825,8.35163727407819e-07,0.109639810458752,0.664829430335518,-4895.81229650754
"20%",0.00399283197471651,0.006727662974395,9.73165447863134e-07,0.109962728344347,0.665559000629752,-4895.61766837926
"22.5%",0.00399583652728483,0.00673496805371227,1.11751660116076e-06,0.110333864379202,0.666207717394841,-4895.42901444806
"25%",0.00399854824005784,0.00674121268536067,1.24176272402552e-06,0.110622899878844,0.666866805274033,-4895.25762349701
"27.5%",0.00400082100543351,0.00674708963762073,1.39362650209452e-06,0.110931863983904,0.667460837910519,-4895.09676850786
"30%",0.00400331267019618,0.00675240219363162,1.55269590760668e-06,0.111191406522804,0.667988662695846,-4894.94886151193
"32.5%",0.00400564347069873,0.00675827061742536,1.68180143225328e-06,0.111438185830661,0.6684717340063,-4894.81093719854
"35%",0.00400790448540399,0.0067626026942517,1.8473081285344e-06,0.111675918589282,0.668886106076564,-4894.68214187193
"37.5%",0.00400999125976594,0.00676734889084063,2.01235063970345e-06,0.111927962071586,0.669406802752293,-4894.55662935163
"40%",0.00401213064243619,0.00677139199741207,2.15323323514905e-06,0.112180034875842,0.669866186145398,-4894.43970680364
"42.5%",0.00401430563473997,0.00677596459208694,2.34377706435646e-06,0.112375766944066,0.670426361565877,-4894.32605702549
"45%",0.00401670231401348,0.00678016605412062,2.50741318988623e-06,0.112590494835615,0.670915326219336,-4894.20624051157
"47.5%",0.00401926776686178,0.00678457555690184,2.67459121545996e-06,0.112810684510143,0.671476268400421,-4894.10215818528
"50%",0.00402124341824337,0.00678917642635265,2.84526786389235e-06,0.113077917202254,0.671878721974357,-4893.99841665847
"52.5%",0.00402342350613481,0.00679391113969304,3.06832564877999e-06,0.113318247005772,0.672307645484206,-4893.89300424672
"55%",0.00402570510387273,0.00679861581226406,3.30552558182987e-06,0.113531265810387,0.672769640345375,-4893.79628495415
"57.5%",0.00402767425727102,0.00680345321117134,3.59015620841295e-06,0.113751665119376,0.673262353701978,-4893.69183687174
"60%",0.00402983210612573,0.00680788853582831,3.85644379142866e-06,0.11399091114204,0.673678584159672,-4893.5914447925
"62.5%",0.00403188974246566,0.00681270546046325,4.1614011525117e-06,0.114235615400738,0.674133719291958,-4893.49803377474
"65%",0.004034432991151,0.00681804432233063,4.45295013970736e-06,0.114481032372905,0.674621416277271,-4893.39667707992
"67.5%",0.00403673226171041,0.00682329257366657,4.79603057272841e-06,0.114737256263573,0.675048864182442,-4893.29588879456
"70%",0.00403941470065845,0.00682913873372711,5.15349376484254e-06,0.114977297476986,0.675529198684119,-4893.19534219887
"72.5%",0.00404238353650776,0.0068344188998195,5.49986619532114e-06,0.11526647929028,0.676099350281191,-4893.09557699141
"75%",0.0040454608851105,0.00684083557981794,5.87605723786224e-06,0.115600344681627,0.676597223438259,-4893.00927773132
"77.5%",0.00404843722854694,0.00684706200641981,6.35951790034675e-06,0.115913930688128,0.677184839292315,-4892.91652805737
"80%",0.00405223855537413,0.00685360937605292,6.88888147292707e-06,0.116256148340064,0.677774310178027,-4892.82252812568
"82.5%",0.00405561641025803,0.00686089137541911,7.47202709645286e-06,0.116610273761707,0.678467123026142,-4892.71911595296
"85%",0.00405927409057201,0.00686774250501426,8.1641349270495e-06,0.117006950362154,0.679263045034127,-4892.61655985498
"87.5%",0.00406306612861266,0.0068759210238133,8.99707657940109e-06,0.11742680916636,0.680051164939749,-4892.50863813148
"90%",0.00406787549064559,0.00688525660587678,1.00296990435463e-05,0.117893021795627,0.681063867065442,-4892.39161949427
"92.5%",0.00407333601642236,0.00689778508736695,1.13764591361567e-05,0.118521003101103,0.682132074241003,-4892.2648209869
"95%",0.00408041906756914,0.0069148679346467,1.3190188222573e-05,0.119276138109917,0.683570736870491,-4892.11542421212
"97.5%",0.00409187073178521,0.00694051877542005,1.60915169720017e-05,0.120552280693113,0.685789512901059,-4891.92055110785
"100%",0.0041579214522322,0.00710351651217259,4.84014592801933e-05,0.129135097759741,0.697827425047373,-4891.32509347947
