Sample	Library	Std	Kind	Length	Occurences
*	*	+	se	28	4
*	*	+	se	29	43
*	*	+	se	30	10838
*	*	+	se	31	12061
*	*	+	se	32	12729
*	*	+	se	33	13337
*	*	+	se	34	13692
*	*	+	se	35	14112
*	*	+	se	36	13850
*	*	+	se	37	13757
*	*	+	se	38	13349
*	*	+	se	39	13629
*	*	+	se	40	12476
*	*	+	se	41	12422
*	*	+	se	42	13205
*	*	+	se	43	12885
*	*	+	se	44	12010
*	*	+	se	45	11573
*	*	+	se	46	11297
*	*	+	se	47	10607
*	*	+	se	48	10084
*	*	+	se	49	9941
*	*	+	se	50	8951
*	*	+	se	51	8219
*	*	+	se	52	8056
*	*	+	se	53	7519
*	*	+	se	54	6946
*	*	+	se	55	6529
*	*	+	se	56	6180
*	*	+	se	57	5765
*	*	+	se	58	5688
*	*	+	se	59	5221
*	*	+	se	60	4689
*	*	+	se	61	4330
*	*	+	se	62	4185
*	*	+	se	63	3735
*	*	+	se	64	4301
*	*	+	se	65	3889
*	*	+	se	66	3737
*	*	+	se	67	3580
*	*	+	se	68	3251
*	*	+	se	69	3002
*	*	+	se	70	2773
*	*	+	se	71	2602
*	*	+	se	72	2538
*	*	+	se	73	5
*	*	+	se	74	23
*	*	+	se	75	28212
*	*	+	se	76	20
*	*	+	se	77	1
*	*	+	se	78	1
*	*	-	se	28	1
*	*	-	se	29	38
*	*	-	se	30	10675
*	*	-	se	31	12085
*	*	-	se	32	12738
*	*	-	se	33	13398
*	*	-	se	34	13628
*	*	-	se	35	14057
*	*	-	se	36	13955
*	*	-	se	37	14020
*	*	-	se	38	13501
*	*	-	se	39	13673
*	*	-	se	40	12653
*	*	-	se	41	12623
*	*	-	se	42	13045
*	*	-	se	43	12683
*	*	-	se	44	12050
*	*	-	se	45	11535
*	*	-	se	46	11121
*	*	-	se	47	10298
*	*	-	se	48	10234
*	*	-	se	49	9957
*	*	-	se	50	9102
*	*	-	se	51	8314
*	*	-	se	52	7954
*	*	-	se	53	7619
*	*	-	se	54	6931
*	*	-	se	55	6543
*	*	-	se	56	6155
*	*	-	se	57	5888
*	*	-	se	58	5672
*	*	-	se	59	5115
*	*	-	se	60	4786
*	*	-	se	61	4401
*	*	-	se	62	4217
*	*	-	se	63	3777
*	*	-	se	64	4175
*	*	-	se	65	3919
*	*	-	se	66	3647
*	*	-	se	67	3598
*	*	-	se	68	3380
*	*	-	se	69	2896
*	*	-	se	70	2737
*	*	-	se	71	2529
*	*	-	se	72	2540
*	*	-	se	73	5
*	*	-	se	74	27
*	*	-	se	75	28389
*	*	-	se	76	12
*	*	-	se	77	2
