"","Position","C.T","G.A"
"1",-12,0.936357504029961,0.959366584748417
"2",-11,0.935690544418705,0.964453013160291
"3",-10,0.940846532114476,0.966407014498185
"4",-9,0.942454383263401,0.968710346837474
"5",-8,0.941751078029817,0.971048890021844
"6",-7,0.9394753727158,0.973189208108875
"7",-6,0.931978449061429,0.975609411302379
"8",-5,0.913739557354666,0.978156970140001
"9",-4,0.899758281806779,0.979545622911544
"10",-3,0.904078446220758,0.979907373131235
"11",-2,0.908274957803066,0.980188899249999
"12",-1,0.905122710558878,0.980729637963319
"13",1,0.981188956707356,0.892505620636662
"14",2,0.980648191693882,0.897254935524536
"15",3,0.980152962079031,0.898347730512875
"16",4,0.979693283725217,0.896351898923545
"17",5,0.979104064422095,0.895214356667151
"18",6,0.978099859171009,0.90060207284875
"19",7,0.9760691381913,0.917021497562967
"20",8,0.972580971248398,0.934431590521659
"21",9,0.968156944261985,0.944267409687635
"22",10,0.96284246653262,0.94941297206336
"23",11,0.958989437413897,0.948196906749485
"24",12,0.955643132614894,0.943767952228897
