Sample	Library	Std	Kind	Length	Occurences
*	*	+	se	30	84
*	*	+	se	31	82
*	*	+	se	32	88
*	*	+	se	33	98
*	*	+	se	34	72
*	*	+	se	35	96
*	*	+	se	36	79
*	*	+	se	37	83
*	*	+	se	38	79
*	*	+	se	39	85
*	*	+	se	40	97
*	*	+	se	41	131
*	*	+	se	42	119
*	*	+	se	43	138
*	*	+	se	44	153
*	*	+	se	45	139
*	*	+	se	46	124
*	*	+	se	47	116
*	*	+	se	48	110
*	*	+	se	49	119
*	*	+	se	50	114
*	*	+	se	51	77
*	*	+	se	52	93
*	*	+	se	53	88
*	*	+	se	54	56
*	*	+	se	55	80
*	*	+	se	56	55
*	*	+	se	57	56
*	*	+	se	58	66
*	*	+	se	59	61
*	*	+	se	60	50
*	*	+	se	61	41
*	*	+	se	62	45
*	*	+	se	63	41
*	*	+	se	64	63
*	*	+	se	65	62
*	*	+	se	66	41
*	*	+	se	67	36
*	*	+	se	68	31
*	*	+	se	69	39
*	*	+	se	70	28
*	*	+	se	71	27
*	*	+	se	72	36
*	*	+	se	74	2
*	*	+	se	75	224
*	*	+	se	76	1
*	*	-	se	30	64
*	*	-	se	31	99
*	*	-	se	32	72
*	*	-	se	33	94
*	*	-	se	34	106
*	*	-	se	35	82
*	*	-	se	36	84
*	*	-	se	37	76
*	*	-	se	38	75
*	*	-	se	39	89
*	*	-	se	40	123
*	*	-	se	41	124
*	*	-	se	42	132
*	*	-	se	43	154
*	*	-	se	44	155
*	*	-	se	45	125
*	*	-	se	46	122
*	*	-	se	47	125
*	*	-	se	48	112
*	*	-	se	49	101
*	*	-	se	50	112
*	*	-	se	51	109
*	*	-	se	52	92
*	*	-	se	53	90
*	*	-	se	54	73
*	*	-	se	55	74
*	*	-	se	56	53
*	*	-	se	57	63
*	*	-	se	58	63
*	*	-	se	59	45
*	*	-	se	60	55
*	*	-	se	61	50
*	*	-	se	62	46
*	*	-	se	63	53
*	*	-	se	64	54
*	*	-	se	65	45
*	*	-	se	66	42
*	*	-	se	67	40
*	*	-	se	68	50
*	*	-	se	69	32
*	*	-	se	70	33
*	*	-	se	71	21
*	*	-	se	72	21
*	*	-	se	74	3
*	*	-	se	75	214
*	*	-	se	76	1
