"","Position","C.T","G.A"
"1",-12,0.490883517662265,0.617838278086705
"2",-11,0.535357817301219,0.626059699331285
"3",-10,0.567403582402893,0.63372333180746
"4",-9,0.58517164406354,0.645403765889088
"5",-8,0.589113733467999,0.662474302809527
"6",-7,0.579051050848126,0.684176851612639
"7",-6,0.556926291946512,0.706962315766136
"8",-5,0.526195919200522,0.727584499409914
"9",-4,0.488648902988903,0.745163561397034
"10",-3,0.441782285884708,0.760450315014673
"11",-2,0.378446363917112,0.774404268936428
"12",-1,0.303200765711573,0.785998363875847
"13",1,0.791184216416456,0.24324180398671
"14",2,0.781526796518327,0.318070593851887
"15",3,0.769001606330722,0.389741224766624
"16",4,0.753576637554489,0.451484163646201
"17",5,0.73590777663668,0.499012398890925
"18",6,0.716939790551216,0.532178336225431
"19",7,0.696884909751059,0.554264366350871
"20",8,0.676310762117479,0.566644832747437
"21",9,0.655607476338655,0.570340942673918
"22",10,0.636509583673584,0.563510537741539
"23",11,0.614026744823861,0.552748305034877
"24",12,0.585183557318301,0.539276385504953
