"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.00398491310826444,0.00375531091376189,9.23602065491716e-06,0.122561540634903,0.667771290896477,-1226.55774015801
"Std.",3.57855848462588e-05,6.90679713580373e-05,9.09617198340356e-06,0.00780228313218658,0.0074213507093217,1.74861922107234
"Acceptance ratio",0.16796,0.107,0.10272,0.19452,0.16646,0.55152
"0%",0.00385073626258494,0.00352540258165339,5.50662736625344e-09,0.0967776295077954,0.640859094321452,-1238.31730162197
"2.5%",0.00391710721986316,0.0036246088513116,2.75832000407823e-07,0.107767785314846,0.652764816464969,-1230.84274369073
"5%",0.00392793077913767,0.00364497080313388,5.07147829311869e-07,0.109904428020702,0.655298994072845,-1229.87955868297
"7.5%",0.00393385499020606,0.00365842387854935,7.59027348809e-07,0.111434161766838,0.657041673818311,-1229.30642221959
"10%",0.00393959445609636,0.00366754510483705,1.01533831835253e-06,0.112759060579027,0.658294799492098,-1228.90523688138
"12.5%",0.00394402366564473,0.00367667571726422,1.2028495820199e-06,0.113653090697796,0.659217669754653,-1228.57953548209
"15%",0.00394825406400138,0.00368392792028336,1.445750313764e-06,0.114521081875692,0.660063228521656,-1228.29251114043
"17.5%",0.00395144430631709,0.00368990455209267,1.74220248060996e-06,0.11537144142346,0.660845511623929,-1228.0621354451
"20%",0.00395508210562883,0.0036953905681285,2.00232301997455e-06,0.116058498321131,0.661461850657027,-1227.84549540229
"22.5%",0.00395787915281659,0.0037020500923308,2.35843754251715e-06,0.116721783200895,0.662118330877149,-1227.64920600865
"25%",0.0039604612255301,0.00370700593221956,2.68258037641155e-06,0.117354024256007,0.662801544432946,-1227.47125587854
"27.5%",0.00396300675005088,0.00371208167439792,3.01649872603467e-06,0.117958170469846,0.663416547715531,-1227.32162926264
"30%",0.00396551794964692,0.00371654784884736,3.34246841253549e-06,0.118441659885584,0.664058513888407,-1227.1688591447
"32.5%",0.00396814904613509,0.00372053651087812,3.65377597306939e-06,0.118960772320107,0.664511009693474,-1227.02576003083
"35%",0.00397084568926973,0.00372537807026205,3.98104290534817e-06,0.119421089959391,0.665020060940596,-1226.88949098257
"37.5%",0.0039729085677569,0.00373054519828862,4.33533271288958e-06,0.119935392564893,0.665503365879173,-1226.76541689814
"40%",0.0039751896408442,0.00373536431213711,4.6488742213629e-06,0.1204764657638,0.665976735416193,-1226.64691615404
"42.5%",0.00397738666599012,0.00374132726973827,5.08533616528192e-06,0.120966618036311,0.666409356795743,-1226.5394757907
"45%",0.00397957015012611,0.0037453544079257,5.62143516599168e-06,0.121390932921553,0.666874490395764,-1226.43002421347
"47.5%",0.00398165348171524,0.00375066244976248,5.98773440677429e-06,0.121910133488265,0.667356369286616,-1226.31812665306
"50%",0.00398395521374932,0.00375541357049447,6.49634024013212e-06,0.122369575521048,0.667788011237576,-1226.21623035265
"52.5%",0.00398633108418448,0.00376011668763287,6.95122867320853e-06,0.122832536667946,0.668294478218999,-1226.12547519933
"55%",0.0039886644792326,0.00376540071635845,7.50187765696777e-06,0.123316842500668,0.668816196818569,-1226.02498548973
"57.5%",0.00399068863433526,0.00377044176102168,7.92539147583228e-06,0.123821717827948,0.669259393824377,-1225.92690815813
"60%",0.00399280672489735,0.00377475337440368,8.48942614746969e-06,0.124295072568929,0.669762640307687,-1225.83436106875
"62.5%",0.00399583114929731,0.00377832748227829,9.05322270934813e-06,0.124821950839766,0.670259553942667,-1225.74201468272
"65%",0.00399798848060942,0.00378187029876787,9.69925241994118e-06,0.125323179337354,0.67069878136337,-1225.6476925749
"67.5%",0.00400122484852348,0.00378722914782665,1.03731654881583e-05,0.125864023359576,0.671211942925917,-1225.55712301669
"70%",0.00400334460917826,0.00379220063649512,1.11763231408939e-05,0.12649562767283,0.671788404703246,-1225.46885068626
"72.5%",0.00400587148416912,0.00379596425914374,1.19878860390868e-05,0.127091616652259,0.672313548612371,-1225.38296476529
"75%",0.0040086673953781,0.00380149634984416,1.28737812167463e-05,0.127732601841113,0.672781946997894,-1225.28983255744
"77.5%",0.00401211333763714,0.00380650189617921,1.37731766177911e-05,0.128318669557889,0.673288883982051,-1225.18939887237
"80%",0.00401507876508075,0.00381248642403096,1.49650828943225e-05,0.128997162585347,0.673949904797435,-1225.09902266445
"82.5%",0.00401809292393071,0.00381857383923769,1.60684390478859e-05,0.129836824057336,0.674629376079183,-1224.99504966268
"85%",0.00402205435191283,0.00382506348458617,1.753045168132e-05,0.130718913060594,0.675394290151106,-1224.88838486985
"87.5%",0.00402640864961938,0.00383425212910129,1.93497786943358e-05,0.131606629230813,0.676213107835301,-1224.77928208664
"90%",0.00403116867313482,0.00384251908414358,2.14641018569826e-05,0.132635855011599,0.677207741679702,-1224.64781252773
"92.5%",0.00403735094124801,0.00385293611067848,2.40892330602328e-05,0.133916696336163,0.6783697605889,-1224.50841088529
"95%",0.00404483013637479,0.003870478591693,2.77987592517522e-05,0.135394657348622,0.679934826644067,-1224.34726503568
"97.5%",0.00405721420531102,0.00389519671269344,3.45016323237473e-05,0.138337156083507,0.682112296268638,-1224.15883527908
"100%",0.00411436436678594,0.00402326154588635,8.31243254899915e-05,0.154126844058608,0.695151714510917,-1223.58224215643
