Sample	Library	Std	Kind	Length	Occurences
*	*	+	se	28	4
*	*	+	se	29	43
*	*	+	se	30	10754
*	*	+	se	31	11979
*	*	+	se	32	12641
*	*	+	se	33	13239
*	*	+	se	34	13620
*	*	+	se	35	14016
*	*	+	se	36	13771
*	*	+	se	37	13674
*	*	+	se	38	13270
*	*	+	se	39	13544
*	*	+	se	40	12379
*	*	+	se	41	12291
*	*	+	se	42	13086
*	*	+	se	43	12747
*	*	+	se	44	11857
*	*	+	se	45	11434
*	*	+	se	46	11173
*	*	+	se	47	10491
*	*	+	se	48	9974
*	*	+	se	49	9822
*	*	+	se	50	8837
*	*	+	se	51	8142
*	*	+	se	52	7963
*	*	+	se	53	7431
*	*	+	se	54	6890
*	*	+	se	55	6449
*	*	+	se	56	6125
*	*	+	se	57	5709
*	*	+	se	58	5622
*	*	+	se	59	5160
*	*	+	se	60	4639
*	*	+	se	61	4289
*	*	+	se	62	4140
*	*	+	se	63	3694
*	*	+	se	64	4238
*	*	+	se	65	3827
*	*	+	se	66	3696
*	*	+	se	67	3544
*	*	+	se	68	3220
*	*	+	se	69	2963
*	*	+	se	70	2745
*	*	+	se	71	2575
*	*	+	se	72	2502
*	*	+	se	73	5
*	*	+	se	74	21
*	*	+	se	75	27988
*	*	+	se	76	19
*	*	+	se	77	1
*	*	+	se	78	1
*	*	-	se	28	1
*	*	-	se	29	38
*	*	-	se	30	10611
*	*	-	se	31	11986
*	*	-	se	32	12666
*	*	-	se	33	13304
*	*	-	se	34	13522
*	*	-	se	35	13975
*	*	-	se	36	13871
*	*	-	se	37	13944
*	*	-	se	38	13426
*	*	-	se	39	13584
*	*	-	se	40	12530
*	*	-	se	41	12499
*	*	-	se	42	12913
*	*	-	se	43	12529
*	*	-	se	44	11895
*	*	-	se	45	11410
*	*	-	se	46	10999
*	*	-	se	47	10173
*	*	-	se	48	10122
*	*	-	se	49	9856
*	*	-	se	50	8990
*	*	-	se	51	8205
*	*	-	se	52	7862
*	*	-	se	53	7529
*	*	-	se	54	6858
*	*	-	se	55	6469
*	*	-	se	56	6102
*	*	-	se	57	5825
*	*	-	se	58	5609
*	*	-	se	59	5070
*	*	-	se	60	4731
*	*	-	se	61	4351
*	*	-	se	62	4171
*	*	-	se	63	3724
*	*	-	se	64	4121
*	*	-	se	65	3874
*	*	-	se	66	3605
*	*	-	se	67	3558
*	*	-	se	68	3330
*	*	-	se	69	2864
*	*	-	se	70	2704
*	*	-	se	71	2508
*	*	-	se	72	2519
*	*	-	se	73	5
*	*	-	se	74	24
*	*	-	se	75	28175
*	*	-	se	76	11
*	*	-	se	77	2
